area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1992,TJ,241201.746932
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1993,TJ,244155.27678
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1994,TJ,241298.28142
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1995,TJ,246814.205249
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1996,TJ,260516.305919
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1997,TJ,264553.429679
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1998,TJ,266397.159189
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),1999,TJ,272901.602334
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),2000,TJ,274086.049975
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),2001,TJ,274629.065141
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Energy Use (Electricity),2002,TJ,276812.227672
